#ff,follow friday
cqts,chuckling quietly to self
crat,can't remember a thing
crb,come right back
crbt,crying real big tears
crd,caucasian rhythm disorder 
crdtchck,credit check
crs,can't remember sh** 
crtla,can't remember the three-letter acronym
cs,career suicide
cs&f;,cute sexy & funny
csa,cool sweet awesome
csabr,continued success and best regards
csl,can't stop laughing
csn,"chuckle, snicker, grin"
ct,can't talk 
cta,call to action
ctc,care to chat 
ctfd,calm the f*** down
ctfo,come the f*** on
ctfu,cracking the f*** up
ctmq,chuckle to myself quietly
cto,check this out
cu46,see you for sex
cua,clean up afterwards
cuatsc,see you at the senior center
cuatu,see you around the universe
cul,see you later
cul8r,see you later
cula,see you later alligator
cuns,see you in school
cuol,see you online
cupl,couple
cuwta,catch up with the acronyms
cuz,because
cwot,complete waste of time
cwyl,chat with you later
cx,cancelled
cxo,chief insert title here officer
cy,calm yourself
cya,cover your ass 
cye,check your email
cyl,see you later
cym,check your mail
cyo,see you online
cyoh,create your own happening
cyt,see you tomorrow
d,dad 
d&m;,deep & meaningful
d/c,disconnected
d00d,"dude, also seen as dood"
d2d,developer-to-developer or day-to-day
d8,date
da,there
dafuq,what the f***
damhikt,don't ask me how i know that
darfc,ducking and running for cover
dba,doing business as
dbabai,don't be a bitch about it
dbbswf,"dream boat body, shipwreck face"
dbd,don't be dumb
dbeyr,don't believe everything you read
dbmib,don't bother me i'm busy
dd,due diligence
ddas,don't do anything stupid
ddg,drop dead gorgeous
ddsos,"different day, same old sh**"
ddwi,don't dick with it
degt,don't even go there
dem,them
dese,these
deti,don't even think it
dewd,dude
dey,they
df,dear friend
dfik,darn if i know
dfla,"disenhanced four-letter acronym (that is, a tla)"
dftba,don't forget to be awesome
dfu,don't f*** up
dfwly,don't forget who loves you
dga,don't go anywhere
dgaf,don't give a f***
dgara,don't give a rat's ass
dgt,don't go there
dgtg,don't go there girlfriend
dgyf,damn girl you're fine
dh,dear husband
dhyb,don't hold your breath
diaf,die in a fire
dic,drunk in charge
difbet,it means what's the difference between
diku,do i know you?
dilligad,do i look like i give a damn
dilligas,do i look like i give a sh**
dink,"double incomes, no kids"
dino,democrat in name only
dinr,dinner
dirft,do it right the first time
disto,did i say that outloud?
ditr,dancing in the rain
dityid,did i tell you i'm distressed
diy,do it yourself
djm,don't judge me
dk,don't know
dkdc,don't know don't care
dl,down low 
dltbbb,don't let the bed bugs bite
dltm,don't lie to me
dm,direct message
dmi,don't mention it
dnbl8,do not be late
dnc,does not compute
dnd,do not disturb
dnf,did not find
dnpmpl,damn near pissed my pants laughing
dnr,do not resuscitate
doa,dead on arrival
doei,goodbye (in dutch)
doin,it means doing
dord,department of redundancy department
dp,domestic partner
dps,damage per second
dpup,don't poop your pants
dqmot,don't quote me on this
dqydj,don't quit your day job
drb,dirty rat bastard
drcowoto,don't really care one way or the other
dsl,digital subscriber line 
dstr8,damn straight
dtc,deep throaty chuckle
dtf,down to f***
dtk,down to kill
dtrt,do the right thing
dui,driving under the influence
dum,do you masturbate?
duna,don't use no acronyms
dur,do you remember
durs,damn you are sexy
dusl,do you scream loud?
dw,don't worry
dw2h,don't work too hard
dwb,don't write back
dwbh,don't worry be happy
dwh,during work hours
dwi,driving while intoxicated
dwpkotl,deep wet passionate kiss on the lips
dws,driving while stupid
dwwwi,surfing the world wide web while intoxicated
dwym,does what you mean
dyac,damn you auto correct
dyfm,dude you fascinate me
dyhab,do you have a boyfriend?
dyhag,do you have a girlfriend
dyjhiw,don't you just hate it when...
dyli,do you love it?
dyofdw,do your own f***ing dirty work
dystsott,did you see the size of that thing
e123,"easy as one, two, three"
e2ho,each to his/her own
eabos,eat a bag of sh**
eadd,entrepreneurial attention deficit disorder
eak,eating at keyboard
eapfs,everything about pittsburgh f***ing sucks
edm,electronic document management 
ee,electronic emission
ee ,employee 
effin,f***ing
eft,electronic funds transfer
eg,evil grin
eip,eggo is preggo
elol,evil laugh out loud
ema,e-mail address
embm,early morning business meeting
emea,"europe, the middle east, and africa"
emfbi,excuse me for butting in
emfji,excuse me for jumping in
emi,excuse my ignorance
eml,email me later
emp,eat my pussy
emrtw,evil monkey's rule the world
emsg,e-mail message
eod,end of day 
eol,end of life
eom,end of message
eot,end of thread/text/transmission
esad,eat sh** and die
esadyfa,eat sh** and die you f***ing asshole
esemed,every second every minute every day
esfoad,eat sh** f***off and die
esg,"environmental, social, governance"
esh,"experience, strength, and hope"
esmf,eat sh** mother f***er
eso,equipment smarter than operator
etla,"etla extended three-letter acronym (that is, an fla)"
etx,end of text
every1,everyone
evre1,every one
ewi,e-mailing while intoxicated
eyd,enjoy your day
eyfd,enjoy your f***ing day
ez,easy
f,friend
f/u,it means to follow up
f2f,"face-to-face, a.k.a. face time"
f2fmail,face-to-face mail
f2t,free to talk
fab,features attributes benefits
fae,finally an explanation
faf,find a friend
fah,f***ing a hot
fap,f***ing a pissed
faql,frequently asked questions list
fasb,fast ass son bitchii
fatm,foaming at the mouth
fav,favorite
fawc,for anyone who cares
fawomft,frequently argued waste of my f***ing time
fb,f*** buddy 
fbi,f***ing brilliant idea 
fbks,failure between keyboard and seat
fbocd,facebook obsessive compulsive disorder
fcfs,"first come, first served"
fcol,for crying out loud
fcs,first customer ship
fdff,falling down f***ing funny
fdgb,fall down go boom
fe,fatal error
ff,friends forever
ff&pn;,fresh fields and pastures new
ffa,free for all
ffs,for f*** sake
fft,food for thought
fgdai,fuhgedaboudit 
fif,f*** i'm funny
fifo,"first in, first out"
figjam,f*** i'm good just ask me
figmo,f*** it got my orders
fiik,f*** if i know
fil,father-in-law
filf,father i'd like to f***
filo,first in last out
fitb,fill in the blanks
fitymi,fake it til you make it
fkm,f*** 'em
fla,four letter acronym
flotus,first lady of the united states
fml,f*** my life
fmltwia,f*** me like the whore i am
fmtyewtk,far more than you ever wanted to know
fmuta,f*** me up the ass
fng,f***ing new guy
fo,f*** off
foad,f*** off and die
foaf,friend of a friend
foag,f*** off and google
foc,free of charge
fofl,falling on floor laughing
fogc,fear of getting caught
folo,fear of losing out 
fomc,fell off my chair
fomcl,falling off my chair laughing
fomo,fear of missing out
fomof,fear of missing out on football
fos,full of sh**
fouo,for official use only
fpo,for placement only
fred,f***ing ridiculous electronic device
frzn,it means freezing
fs,for sale
fsbo,for sale by owner
fsr,for some reason
fsu,f*** sh** up
ftasb,faster than a speeding bullet
ftbl,football
ftbomh,from the bottom of my heart
ftc,failure to communicate
fte,full time employee
ftf,"f*** that's funny, face to face, first to find"
ftfoi,for the fun of it 
ftl,faster than light
ftlog,for the love of god
ftn,f*** that noise
ftr,for the record
ftrf,f*** that's really funny
fttb,for the time being
ftw,for the win 
fu2,f*** you too
fub,fat ugly bastard
fubar,f***ed up beyond all recognition (or repair)
fubarbundy,f***ked up beyond all recovery but unfortunately not dead yet
fubb,f***ed up beyond belief
fubyoyo,f*** you buddy you're on your own
fud,"fear, uncertainty, and disinformation"
fujimo,f*** you jack i'm movin' on
fum,f***ed up mess
fumf,fat ugly mother f***er
fupa,fat upper pussy area
furtb,filled up and ready to burst
fuw,f*** you world 
fwb,friends with benefits
fwd,forward
fwiw,for what it's worth 
fwot,f***ing waste of time
fya,for your amusement
fyc,for your consideration
fye,for your edification
fyeo,for your eyes only
fyf,from your friend
fyi,for your information
fyifv,f*** you i'm fully vested
fyltge,from your lips to gods ears
fym,for your misinformation
fysbigtbabn,fasten your seat belts it's going to be a bumpy night
g,guess 
g1,good one
g2g,got to go
g2glys,got to go love ya so
g4i,go for it
g4n,good for nothing
g9,genius
g98t,good night
ga,go ahead 
gafa,"google, apple, facebook, amazon"
gafl,get a f***ing life
gafyk,get away from your keyboard
gagfi,gives a gay first impression
gahoy,get a hold of yourself
galgal,give a little get a little
galher,get a load of her
galhim,get a load of him
ganb,getting another beer
gawd,god
gb,good bridge
gbg,great big grin
gbh,great big hug
gbtw,get back to work
gc,good crib
gd&r;,"grinning, ducking and running"
gd&rf;,"grinning, ducking and running fast"
gdi,god damn it 
gdpr,general data protection regulation
gdw,"grin, duck and wave"
gf,girlfriend
gfe,good faith estimate 
gff,go f***ing figure
gfi,go for it
gfn,gone for now
gfon,good for one night
gfr,grim file reaper
gftd,gone for the day
gftu,good for the universe
gfy,good for you 
gfymf,go f*** yourself mother f***er
gg,good game 
gga,good game all
gggg,"god, god, god, god"
ggn,gotta go now
ggoh,gotta get out of here
ggp,gotta go pee
ggpbl,"gotta go, pacemaker battery low"
ggy,go google yourself
ghm,god help me
gi,google it
gic,gift in crib
gidk,gee i don't know
gigatt,god is good all the time
gigo,"garbage in, garbage out"
gilf,grandmother i'd like to f***
giwist,"gee, i wish i'd said that"
gj,good job
gjp,good job partner
gl,good luck 
gla,good luck all
glawd,good luck and well done
glb,good looking boy
glbt,"gay, lesbian, bisexual, transgender"
glg,good looking girl
glgh,good luck and good hunting
glyasdi,god loves you and so do i
gm,good morning 
gmab,give me a break
gmafb,give me a f***ing break
gmily,good morning i love you
gmta,great minds think alike
gmta asdo,"great minds think alike, and so do ours"
gmtft,great minds think for themselves
gn,good night
gn8,good night
gnblfy,got nothing but love for you
gnoc,get naked on cam
gns,gangnam style
gnsd,good night sweet dreams
goi,get over it
gok,god only knows
gol,giggling out loud
good job,get out of debt job
gork,god only really knows
gotdpwyd,get off the damn phone while you're driving
gotp,get/getting on the piss
gowi,get on with it
goyhh,get off your high horse
gqmf,gentleman's quarterly mother f***er
gr&d;,grinning running & ducking
gr2br,good riddance to bad rubbish
gr8,great
gras,generally recognized as safe
gratz,congratulations
grobr,good riddance of bad rubbish
grrlz,"girls, also seen as grrl"
grrr,growling
gsc,gimme some credit
gsoas,go sit on a snake
gsoh,good sense of humor
gsw,gun shot wound
gsyjdwurmnkh,"good seeing you, just don't wear your monkey hat"
gt,good try
gtasc,going to a strip club
gtfo,get the f*** out
gtfooh,get the f*** out of here
gtg,got to go
gtgb,got to go bye
gtgp,got to go pee
gth,go to hell
gtk,good to know
gtl,"gym, tan, laundry"
gtm,giggle to myself
gtp,game transfer phenomenon
gtrm,going to read mail
gts,google that sh**
gtsy,glad to see you
gud,geographically undesirable
guvment,"government, also seen as guvmint, gumint"
gwi,get with it
gwot,glorified waste of time
gws,get well soon
gyhooya,get your head out of your ass
gylabtw,get your lazy ass back to work
gypo,get your pants off
h&k;,hugs and kisses
h/o,hold on
h/p,hold please
h2cus,hope to see you soon
h2s,here to stay
h4u,hot for you
h4xx0r,hacker 
h9,husband in room
hadvd,have advised
hag1,have a good one
hagd,have a great day
hagn,have a good night
hago,have a good one
hahaha,it means laughing
hak,hugs and kisses
har,hit and run
hawtlw,hello and welcome to last week
hb,hurry back
hbastd,hitting bottom and starting to dig
hbb,hip beyond belief
hbib,hot but inappropriate boy
hbic,head bitch in charge
hbo,helping a brother out
hbtu,happy birthday to you
hbu,how bout you?
hcc,holy computer crap
hd,hold
hdgfs,how does get f***ed sound?
hea,happily ever after
hf,hello friend 
hhfo,hell has frozen over
hhh,hip hip hooray
hhis,hanging head in shame
hho1/2k,"ha ha, only half kidding"
hhoj,"ha ha, only joking"
hhok,"ha ha, only kidding"
hhos,"ha ha, only serious"
hhtyay,happy holidays to you and yours
hi 5,high five
hig,how's it going?
hih,hope it helps
hiooc,"help, i'm out of coffee"
hitaks,hang in there and keep smiling
hmfic,head mofo in charge
hmfwicc,head mofo what in complete charge
hmu,hit me up
hnti,how nice that/this is
hntw,how nice that was
hny,happy new year
hoha,hollywood hacker
hoic,"hold on, i'm coming"
hot pic,"hot picture, as in sexy or naked"
howru,how are you
hoyew,hanging on your every word
hp,higher power
hpoa,hot piece of ass
hppo,highest paid person in office
hrcn,it means hurricane
hsiab,haven't seen it all before
hsik,how should i know
ht,hi there 
htb,hang the bastards
hth,hope this (or that) helps
htnoth,hit the nail on the head
hu,hook up
hua,heads up ace 
hud,how you doing?
hugz,hugs
huya,head up your ass
hv,have
hwga,here we go again
hx,it means history 
i 1-d-r,i wonder
i <3 i,i love it
i <3 u,i love you
i h8 it,i hate it
i&i;,intercourse & inebriation
i-d-l,ideal
iac,in any case 
iae,in any event
iagtkom,i ain't got that kind of money
iaits,it's all in the subject
ianac,i am not a crook
ianadbipootv,i am not a doctor but i play one on tv
ianae,i am not an expert
ianal,i am not a lawyer
iannngc,i am not nurturing the next generation of casualties
iasap4u,i always say a prayer for you
iat,i am tired
iaw,i agree with 
iaym,i am your master
ibgybg,"i'll be gone, you'll be gone"
ibiwisi,i'll believe it when i see it
ibk,idiot behind keyboard
ibrb,i'll be right back
ibt,in between technology
ibtc,itty bitty titty committee
ibtd,i beg to differ
ibtl,in before the lock
ic,independant contractor 
icbw,i could be wrong
icbwicbm,"it could be worse, it could be me"
iccl,i couldn't care less
icihicpcl,i can't imagine how i could possibly care less
icw,i can't wait
icwum,i see what you mean
icyc,in case you're curious 
icymi,in case you missed it
id10t,idiot
idc,i don't care
idewtk,i don't even want to know
idgad,i don't give a damn
idgaf,i don't give a f***
idgara,i don't give a rats ass
idgi,i don't get it 
idiftl,i did it for the lulz
idk,i don't know
"idk, my bff jill","i don't know, my best friend forever jill"
idkabtt,i don't know about that
idky,i don't know you
idm,it doesn't matter
idrk,i don't really know
idst,i didn't say that
idta,i did that already
idtbbf,i deserve to be blown first
idts,i don't think so
idwtub,i don't want to upset you but
ief,it's esther's fault
if/ib,in the front 
ifab,i found a bug
ifh8tabx,i f***ing hate this acronym bollocks
ifu,i f***ed up
iggp,i gotta go pee
igtp,i get the point
igws,it goes without saying
igwst,it goes without saying that
igyhtbt,i guess you had to be there
iha,i hate acronyms
ihaim,i have another instant message
ihnc,i have no clue
ihno,i have no opinion
ihr,involuntary hormonal reaction
ihtfp,i have truly found paradise 
ihu,i hear you
ihy,i heart you 
iiabdfi,"if it ain't broke, don't fix it"
iiio,"intel inside, idiot outside"
iimad,if it makes any difference
iinm,if i'm not mistaken
iir,if i remember 
iirc,if i remember correctly 
iit,is it tight?
iitlyto,if it's too loud you're too old
iitm,it's in the mail
iitywimwybmad,if i tell you what it means will you buy me a drink
iitywybmad,if i tell you will you buy me a drink
iiwii,it is what it is
iiwm,if it were me
ij,inside joke
ijpmp,i just pissed my pants
ijs,i'm just saying...
ijwtk,i just want to know
ijwts,i just want to say
ikaloplt,i know a lot of people like that
ikr,"i know, right?"
ikwym,i know what you mean
ikyabwai,i know you are but what am i?
ila,i love acronyms
ilbcnu,i'll be seeing you
ilbcnul8r,i'll be seeing you later
ilf/md,i love female/male dominance
ili,i love it
iliciscomk,"i laughed, i cried, i spat/spilt coffee/crumbs/coke on my keyboard"
ilmj,i love my job
ilu,i love you
iluaaf,i love you as a friend
ily,i love you
ily2,i like/love you too
im,instant messaging 
im2bz2p,i am too busy to (even) pee
ima,i might add
imao,in my arrogant opinion
imco,in my considered opinion
ime,in my experience
imezru,"i am easy, are you?"
imfao,in my f***ing arrogant opinion
imfkd^,i am f***ed up
imgc,i might get caught
imheiuo,in my high exalted informed unassailable opinion
imhif,i move how i feel
imho,in my humble opinion
imi,i mean it
imjs,i'm just saying
imml,i make myself laugh
imnerho,in my never even remotely humble opinion
imnsho,in my not so humble opinion
imo,in my opinion
imoo,in my own opinion
imowha,i made out with him/her anyway
impov,in my point of view
imr,i mean really
imru,"i am, are you?"
ims,i am sorry
inbd,it's no big deal
inmp,it's not my problem
innw,if not now when?
inpo,in no particular order
inucosm,it's no use crying over spilt milk
ioh,i'm outta here
iono,i don't know
iot,in order to
iottco,intuitively obvious to the casual observer
iou,i owe you
ioud,"inside, outside, upside down"
iow,in other words
ipn,i'm posting naked
irl,in real life
irncot,i'd rather not comment on that
isagn,i see a great need
ish,insert sarcasm here
iso,in search of
iss,i said so 
issoys,i'm so sick of your stuff 
issygti,i'm so sure you get the idea
istm,it seems to me
istr,i seem to remember
iswc,if stupid were a crime
iswym,i see what you mean
isyals,i'll send you a letter soon
ita,i totally agree
itfa,in the final analysis
itigbs,i think i'm going to be sick
itm,in the money
itma,it's that man again
itmfa,impeach the mother f***er already
its a d8,it's a date
itsfwi,if the shoe fits wear it
ium,if you must
iuri,if you are interested
iwalu,i will always love you
iwbaptakyaiysta,i will buy a plane ticket and kick your ass if you say that again
iwbni,it would be nice if
iwfu,i wanna f*** you
iwiwu,i wish i was you
iwsn,i want sex now
iyam,if you ask me
iyaoyas,if you ain't ordinance you ain't sh**
iycssnasdsaaa,if you can’t say something nice about someone don’t say anything at all
iyd,in your dreams
iydmma,if you don't mind my asking
iyfd,in your f***ing dreams
iyfeg,insert your favorite ethnic group
iykwim,if you know what i mean
iykwimaityd,if you know what i mean and i think you do
iynaegbtm,if you need anything else get back to me
iyo,in your opinion
iyq,i like you
iyss,if you say so
iyswim,if you see what i mean
j/c,just checking
j/j,just joking
j/k,just kidding
j/o,jerking off
j/p,just playing
j/w,just wondering
j2lyk,just to let you know
j4f,just for fun
j4g,just for grins
j4t ,just for today
j5m,just five minutes
jad,just another day
jafo,just another f***ing onlooker
jafs,just a f***ing salesman
jas,just a second
jc,just curious 
jdi,just do it
jdmj,just doing my job
jealz,jealous
jeomk,just ejaculated on my keyboard
jfh,just f*** her
jfi,just for information
jgmb,just google me b*tch
jho,just helping out
jhom,"just helping out my (mafia, mob, neighbors, etc.)"
jhomf,just helping out my friend(s)
jic,just in case
jk,just kidding
jly,jesus loves you
jm2c,just my 2 cents
jmdtp30,join me down the pub (in 30 mins)
jmo,just my opinion
joml,jesus on the main line
joott,just one of those things
jp,just playing
js,just saying
jsu,just shut up
jsyk,just so you know
jt,just teasing
jtlyk,just to let you know
jtol,just thinking out loud
jtou,just thinking of you
juadlam,jumping up and down like a monkey
jw,just wondering
k,ok
kab,kick ass bitch
kb,kick butt
kbd,keyboard
kc,keep cool
kcco,keep calm & carry on
kewl,it means cool
kfy -,kiss for you
khyf,know how you feel
kia,killed in action
kibo,"knowledge in, bullsh** out"
kir,keep it real
kity,keep it to yourself
kk,kiss kiss 
kkk,"it means ""over"" as in, waiting for your reply"
kma,kiss my ass
kmba,kiss my black ass
kmfha,kiss my fat hairy ass
kmim,keep me in mind
kmp,keep me posted
kmria,kiss my royal irish arse
kmsla,kiss my shiny little ass
kmuf,kiss me you fool
kmwa,kiss my white ass
ko,knocked out
kok,knock
kotc,kiss on the cheek
kotl,kiss on the lips
kpc,keeping parents clueless
ks,kill stealer
kudt,dutch for f***ed up life
kutgw,keep up the good work
kwim,know what i mean?
kwsta,kiss with serious tongue action
kybc,keep your bum clean
kyfc,keep your fingers crossed
kync,keep your nose clean
kypo,keep your pants on
kysoti,keep your stick on the ice
l,laugh
l&r;,love and respect
l/m,left message
l?^,let's hook up
l@u,laughing at you 
labatyd,life's a bitch and then you die
lafw,listening (but) away from window
lagnaf,lets all get naked and f***
laoj,laughing at own joke
laq,lame ass quote
lb?w/c,like bondage? whips or chains
lbh,let's be honest
lbr and lgr,little boy's room and little girl's room
lbs,laughing but serious
lbug ,laughing because you're gay 
ld,long distance 
ldimedilligaf,"look deeply into my eyes, does it look like i give a f***"
ldr,long distance relationship
